Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,317.420013,332.600006,305.510010,331.359985,331.359985,3558100
2021-01-08,335.000000,370.950012,333.290009,342.269989,342.269989,7400800
2021-01-15,330.720001,350.250000,317.010010,348.299988,348.299988,6291200
2021-01-22,346.269989,348.279999,317.119995,325.440002,325.440002,6376400
2021-01-29,328.589996,350.250000,310.700012,314.700012,314.700012,13163700
2021-02-05,316.230011,339.619995,306.000000,331.899994,331.899994,7916700
2021-02-12,333.940002,364.000000,329.394989,354.880005,354.880005,5712600
2021-02-19,355.619995,387.440002,302.600006,303.059998,303.059998,13905000
2021-02-26,300.000000,326.149994,278.230011,285.010010,285.010010,9846200
2021-03-05,290.000000,291.369995,254.919998,286.959991,286.959991,10305700
2021-03-12,280.059998,292.660004,266.144989,271.730011,271.730011,5033600
2021-03-19,269.989990,278.570007,250.100006,254.630005,254.630005,5447100
2021-03-26,258.510010,280.000000,249.000000,273.100006,273.100006,6220700
2021-04-02,279.559998,288.649994,272.089996,280.940002,280.940002,3599900
2021-04-09,279.679993,300.940002,271.260010,299.739990,299.739990,4979600
2021-04-16,299.739990,299.739990,260.609985,265.160004,265.160004,6749200
2021-04-23,268.000000,299.484985,255.160004,262.149994,262.149994,16821100
2021-04-30,260.000000,264.399994,230.300003,237.039993,237.039993,10375600
2021-05-07,242.360001,246.500000,214.154999,217.070007,217.070007,8637100
2021-05-14,219.050003,231.190002,211.100006,228.679993,228.679993,8171900
2021-05-21,229.949997,242.865005,225.397003,240.259995,240.259995,5512000
2021-05-28,242.029999,246.330002,231.524994,232.190002,232.190002,4291700
2021-06-04,234.539993,247.460007,232.589996,247.190002,247.190002,5912200
2021-06-11,248.000000,253.410995,236.460007,247.110001,247.110001,6782500
2021-06-18,246.110001,265.585999,242.039993,264.160004,264.160004,6814100
2021-06-25,266.079987,280.540009,261.859985,268.630005,268.630005,6092700
2021-07-02,269.760010,272.059998,250.309998,256.149994,256.149994,3224500
2021-07-09,254.860001,267.760010,246.830002,247.970001,247.970001,4842000
2021-07-16,250.000000,250.000000,237.190002,244.179993,244.179993,5608800
2021-07-23,243.279999,247.904999,213.110001,225.270004,225.270004,14600700
2021-07-30,226.529999,233.220001,214.994995,221.130005,221.130005,11207000
2021-08-06,221.669998,227.429993,210.149994,215.039993,215.039993,9756000
2021-08-13,215.500000,216.057999,201.677994,205.080002,205.080002,5991900
2021-08-20,209.550003,227.520004,209.550003,224.619995,224.619995,6524000
2021-08-27,225.490005,255.850006,225.490005,254.029999,254.029999,8371800
2021-09-03,251.800003,263.589996,245.485992,246.009995,246.009995,5022300
2021-09-10,247.009995,254.940002,236.660004,242.020004,242.020004,5157900
2021-09-17,243.229996,248.389999,233.559998,234.860001,234.860001,5221000
2021-09-24,231.809998,235.600006,218.509995,225.339996,225.339996,5435300
2021-10-01,227.020004,238.410004,218.660004,234.899994,234.899994,4389900
2021-10-08,235.500000,248.119995,230.440002,247.369995,247.369995,3998400
2021-10-15,248.919998,263.040009,243.419998,255.000000,255.000000,4463000
2021-10-22,251.500000,293.320007,249.020004,288.950012,288.950012,11042800
2021-10-29,285.140015,305.600006,283.320007,293.480011,293.480011,7666200
2021-11-05,293.299988,297.630005,266.369995,276.649994,276.649994,7555200
2021-11-12,282.239990,286.600006,262.329987,263.369995,263.369995,6648700
2021-11-19,263.269989,266.910004,237.059998,249.490005,249.490005,6054800
2021-11-26,248.080002,253.050003,224.320999,228.539993,228.539993,7289200
2021-12-03,230.000000,245.809998,221.149994,233.419998,233.419998,6304000
2021-12-10,237.100006,238.429993,216.000000,226.550003,226.550003,6851200
2021-12-17,224.309998,240.919998,222.770004,236.630005,236.630005,5320600
2021-12-24,236.710007,241.539993,228.100006,237.919998,237.919998,3836300
2021-12-31,237.770004,247.199997,219.610001,228.270004,228.270004,7195500
2022-01-07,228.149994,240.080002,212.380005,226.449997,226.449997,5573800
2022-01-14,223.910004,226.399002,207.029999,208.660004,208.660004,7223300
2022-01-21,202.369995,205.720001,169.429993,171.320007,171.320007,13395600
2022-01-28,172.229996,208.490005,155.570007,159.759995,159.759995,31003600
2022-02-04,163.110001,177.600006,161.100006,167.830002,167.830002,21161300
2022-02-11,168.009995,171.000000,157.699997,159.220001,159.220001,8745700
2022-02-18,158.850006,160.169998,135.554993,149.210007,149.210007,7982600
2022-02-25,150.470001,159.490005,138.619995,139.919998,139.919998,8817900
2022-03-04,140.899994,142.300003,125.839996,132.669998,132.669998,10062700
2022-03-11,134.339996,139.860001,118.199997,138.729996,138.729996,9984900
2022-03-18,138.710007,156.910004,137.169998,149.259995,149.259995,11453600
2022-03-25,149.960007,159.339996,142.714996,151.020004,151.020004,6713000
2022-04-01,152.539993,160.059998,138.009995,141.389999,141.389999,9030700
2022-04-08,141.380005,148.470001,135.830002,136.270004,136.270004,6290600
2022-04-15,136.559998,138.740005,110.529999,112.620003,112.620003,11907000
2022-04-22,112.699997,116.699997,95.220001,102.680000,102.680000,23658200
2022-04-29,102.040001,113.360001,99.900002,105.589996,105.589996,12614300
2022-05-06,108.330002,108.980003,89.029999,97.080002,97.080002,14472600
2022-05-13,99.949997,108.519997,99.949997,105.769997,105.769997,11143300
2022-05-20,107.250000,110.910004,102.190002,108.620003,108.620003,12956000
2022-05-27,109.699997,117.250000,109.010002,116.500000,116.500000,7269300
2022-06-03,114.199997,119.000000,107.309998,111.930000,111.930000,12826900
2022-06-10,108.849998,111.336998,96.074997,97.849998,97.849998,12508000
2022-06-17,98.959999,104.839996,96.809998,102.190002,102.190002,7024200
2022-06-24,103.730003,109.089996,92.055000,93.830002,93.830002,12193500
2022-07-01,94.680000,106.099998,93.660004,105.830002,105.830002,7679100
2022-07-08,103.599998,106.160004,94.750000,96.320000,96.320000,7095000
2022-07-15,97.809998,115.800003,96.580002,115.620003,115.620003,9606000
2022-07-22,113.190002,121.639999,103.394997,114.589996,114.589996,16405100
2022-07-29,112.900002,124.629997,110.199997,122.400002,122.400002,7665900
2022-08-05,118.459999,126.269997,113.639999,122.730003,122.730003,6748200
2022-08-12,124.169998,124.680000,112.010002,114.389999,114.389999,5318600
2022-08-19,113.000000,113.599998,107.419998,113.529999,113.529999,4635500
2022-08-26,113.910004,114.190002,102.180000,106.519997,106.519997,5447100
2022-09-02,107.550003,108.290001,100.620003,105.180000,105.180000,3878300
2022-09-09,106.309998,113.180000,98.599998,103.959999,103.959999,7300200
2022-09-16,102.260002,102.260002,92.440002,92.449997,92.449997,6264900
2022-09-23,90.510002,93.290001,85.918999,86.839996,86.839996,7170500
2022-09-30,86.489998,95.459999,86.000000,92.250000,92.250000,10574200
2022-10-07,90.059998,90.290001,78.500000,82.650002,82.650002,11030300
2022-10-14,84.360001,90.611000,81.720001,87.739998,87.739998,7267000
2022-10-21,85.550003,98.639999,80.019997,81.739998,81.739998,22786100
2022-10-28,81.419998,84.629997,71.449997,71.720001,71.720001,13920600
2022-11-04,73.230003,78.599998,69.285004,78.440002,78.440002,8657000
2022-11-11,79.599998,86.841003,77.669998,79.449997,79.449997,7546500
2022-11-18,80.870003,80.870003,70.180000,78.260002,78.260002,5513800
2022-11-25,77.849998,82.349998,74.510002,79.449997,79.449997,5282200
2022-12-02,77.860001,81.644997,73.599998,77.800003,77.800003,6567100
2022-12-09,78.160004,87.480003,72.320000,72.360001,72.360001,11256200
2022-12-16,72.120003,79.394997,71.720001,77.959999,77.959999,9958000
2022-12-23,77.599998,79.440002,73.930000,79.010002,79.010002,4718000
2022-12-30,76.769997,79.050003,76.529999,78.949997,78.949997,1255800
