Date;Close
2021-01-01;331.359.985
2021-01-02;342.269.989
2021-01-03;348.299.988
2021-01-04;325.440.002
2021-01-05;314.700.012
2021-01-06;331.899.994
2021-01-07;354.880.005
2021-01-08;303.059.998
2021-01-09;28.501.001
2021-01-10;286.959.991
2021-01-11;271.730.011
2021-01-12;254.630.005
2021-01-13;273.100.006
2021-01-14;280.940.002
2021-01-15;29.973.999
2021-01-16;265.160.004
2021-01-17;262.149.994
2021-01-18;237.039.993
2021-01-19;217.070.007
2021-01-20;228.679.993
2021-01-21;240.259.995
2021-01-22;232.190.002
2021-01-23;247.190.002
2021-01-24;247.110.001
2021-01-25;264.160.004
2021-01-26;268.630.005
2021-01-27;256.149.994
2021-01-28;247.970.001
2021-01-29;244.179.993
2021-01-30;225.270.004
2021-01-31;221.130.005
2021-02-01;215.039.993
2021-02-02;205.080.002
2021-02-03;224.619.995
2021-02-04;254.029.999
2021-02-05;246.009.995
2021-02-06;242.020.004
2021-02-07;234.860.001
2021-02-08;225.339.996
2021-02-09;234.899.994
2021-02-10;247.369.995
2021-02-11;255
2021-02-12;288.950.012
2021-02-13;293.480.011
2021-02-14;276.649.994
2021-02-15;263.369.995
2021-02-16;249.490.005
2021-02-17;228.539.993
2021-02-18;233.419.998
2021-02-19;226.550.003
2021-02-20;236.630.005
2021-02-21;237.919.998
2021-02-22;228.270.004
2021-02-23;226.449.997
2021-02-24;208.660.004
2021-02-25;171.320.007
2021-02-26;159.759.995
2021-02-27;167.830.002
2021-02-28;159.220.001
2021-03-01;149.210.007
2021-03-02;139.919.998
2021-03-03;132.669.998
2021-03-04;138.729.996
2021-03-05;149.259.995
2021-03-06;151.020.004
2021-03-07;141.389.999
2021-03-08;136.270.004
2021-03-09;112.620.003
2021-03-10;102.68
2021-03-11;105.589.996
2021-03-12;97.080.002
2021-03-13;105.769.997
2021-03-14;108.620.003
2021-03-15;116.5
2021-03-16;111.93
2021-03-17;97.849.998
2021-03-18;102.190.002
2021-03-19;93.830.002
2021-03-20;105.830.002
2021-03-21;96.32
2021-03-22;115.620.003
2021-03-23;114.589.996
2021-03-24;122.400.002
2021-03-25;122.730.003
2021-03-26;114.389.999
2021-03-27;113.529.999
2021-03-28;106.519.997
2021-03-29;105.18
2021-03-30;103.959.999
2021-03-31;92.449.997
2021-04-01;86.839.996
2021-04-02;92.25
2021-04-03;82.650.002
2021-04-04;87.739.998
2021-04-05;81.739.998
2021-04-06;71.720.001
2021-04-07;78.440.002
2021-04-08;79.449.997
2021-04-09;78.260.002
2021-04-10;79.449.997
2021-04-11;77.800.003
2021-04-12;72.360.001
2021-04-13;77.959.999
2021-04-14;79.010.002
2021-04-15;78.949.997
